ia,ib,ic,distance,location,type
12.39002896,0.261953642,0.169547704,1180,0,0
12.33541865,0.261920712,0.1697037,1190,0,0
12.28126694,0.261882559,0.169863382,1200,0,0
12.22756894,0.261839177,0.170026828,1210,0,0
12.17432104,0.26179057,0.170194632,1220,0,0
12.12152022,0.261736755,0.170369955,1230,0,0
12.06916357,0.261677756,0.170550814,1240,0,0
12.01724876,0.261613608,0.170737923,1250,0,0
11.96580156,0.261544352,0.170930313,1260,0,0
11.9147907,0.261470039,0.171123921,1270,0,0
11.86421087,0.261390724,0.171317458,1280,0,0
11.81407199,0.26130647,0.171509735,1290,0,0
11.76437765,0.261217345,0.171699587,1300,0,0
11.71509685,0.261123425,0.171888668,1310,0,0
11.66624481,0.261024786,0.172075476,1320,0,0
11.61781204,0.260921512,0.172261831,1330,0,0
11.56977433,0.26081369,0.172446615,1340,0,0
11.52214814,0.26070141,0.172631541,1350,0,0
11.47491955,0.260584766,0.172815971,1360,0,0
11.42807373,0.260463853,0.172999663,1370,0,0
11.38160996,0.260338771,0.173185825,1380,0,0
11.33554013,0.260209621,0.173370409,1390,0,0
11.28985407,0.260076505,0.173556333,1400,0,0
11.24454648,0.259939529,0.173745148,1410,0,0
11.19961681,0.259798797,0.173933113,1420,0,0
11.15506287,0.259654418,0.174119781,1430,0,0
11.11088028,0.2595065,0.174305134,1440,0,0
11.06706218,0.259355151,0.174491718,1450,0,0
11.02359941,0.259200481,0.174674077,1460,0,0
10.98049014,0.259042601,0.174851554,1470,0,0
10.93772893,0.25888162,0.1750241,1480,0,0
10.89529407,0.25871765,0.175192297,1490,0,0
10.85317523,0.2585508,0.175357108,1500,0,0
10.8113739,0.258381183,0.175519383,1510,0,0
10.7698999,0.258208907,0.175679299,1520,0,0
10.72872748,0.258034084,0.175835955,1530,0,0
10.68785708,0.257856822,0.175987335,1540,0,0
10.64730868,0.257677233,0.176130719,1550,0,0
10.60707638,0.257495424,0.176263418,1560,0,0
10.56715261,0.257311504,0.176383548,1570,0,0
10.5275387,0.257125581,0.176490465,1580,0,0
10.48823307,0.256937761,0.176584639,1590,0,0
